-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 03/31/2021 
Location: Latitude  -2.1362   Longitude -79.9036 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 64.58 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_NKT              CERES SYN1deg All Sky Normalized Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,2,29,2.25,6.9,0.21,0.25,408.65,46.7,130.83,6.62,0.22,1.12
2020,3,1,3.2,6.72,0.3,0.35,410.64,63.52,127.48,8.48,0.27,1.38
2020,3,2,2.7,6.94,0.26,0.3,406.95,54.95,132.06,7.62,0.24,1.23
2020,3,3,3.62,7.11,0.34,0.4,410.85,71.95,135.5,9.94,0.32,1.65
2020,3,4,3.89,7.08,0.37,0.43,408.9,75.71,133.84,10.32,0.34,1.72
2020,3,5,2.69,7.14,0.26,0.3,414.87,54.41,136.22,7.82,0.26,1.33
2020,3,6,2.83,7.25,0.27,0.31,412.69,57.86,138.55,8.42,0.28,1.45
2020,3,7,3.93,7.13,0.38,0.44,410.09,78.79,135.98,10.99,0.35,1.82
2020,3,8,3.95,7.05,0.38,0.44,407.62,78.75,134.16,10.87,0.36,1.89
2020,3,9,3.82,6.87,0.36,0.42,404.46,75.48,129.26,10.09,0.33,1.68
2020,3,10,3.18,6.51,0.3,0.35,413.34,63.24,121.4,8.3,0.27,1.38
2020,3,11,3.55,7.08,0.34,0.39,397.44,69.7,130.73,9.56,0.33,1.68
2020,3,12,4.0,7.24,0.38,0.45,402.27,80.95,138.6,11.35,0.38,1.96
2020,3,13,4.34,7.31,0.41,0.48,407.22,87.94,141.62,12.27,0.41,2.13
2020,3,14,4.19,7.34,0.4,0.47,401.94,84.46,141.45,12.0,0.41,2.12
2020,3,15,4.7,7.47,0.45,0.52,408.2,93.82,144.29,13.09,0.42,2.2
2020,3,16,4.13,7.31,0.39,0.46,402.77,82.63,139.84,11.7,0.38,1.95
2020,3,17,4.81,7.35,0.46,0.54,392.89,95.77,140.89,13.44,0.44,2.3
2020,3,18,4.1,7.09,0.39,0.46,393.59,81.98,134.5,11.32,0.35,1.83
2020,3,19,4.53,7.24,0.43,0.51,394.37,89.97,137.52,12.28,0.4,2.09
2020,3,20,4.67,7.08,0.45,0.52,390.12,90.65,131.95,12.22,0.38,2.01
2020,3,21,5.94,7.11,0.57,0.66,384.03,114.41,134.25,15.05,0.47,2.47
2020,3,22,5.09,7.3,0.48,0.57,386.42,99.02,138.41,13.39,0.42,2.21
2020,3,23,4.63,6.91,0.45,0.52,394.02,90.39,130.44,12.13,0.39,2.07
2020,3,24,4.84,6.23,0.46,0.55,401.48,92.12,115.47,11.45,0.36,1.9
2020,3,25,3.98,6.25,0.38,0.45,400.1,76.02,114.44,9.69,0.31,1.63
2020,3,26,4.08,6.73,0.39,0.46,403.19,80.73,126.8,10.76,0.37,1.97
2020,3,27,2.56,6.67,0.25,0.29,407.86,51.96,124.92,7.14,0.24,1.27
2020,3,28,3.72,6.72,0.36,0.42,403.19,73.65,126.66,10.03,0.34,1.76
2020,3,29,2.92,6.83,0.28,0.33,410.96,59.3,129.78,8.38,0.29,1.5
2020,3,30,2.85,6.84,0.27,0.32,401.05,58.01,129.31,8.17,0.28,1.48
2020,3,31,4.27,6.91,0.41,0.48,398.66,84.42,131.12,11.59,0.39,2.07
2020,4,1,3.85,6.59,0.38,0.44,399.95,74.66,122.66,10.11,0.34,1.79
2020,4,2,4.52,6.37,0.44,0.52,396.1,85.91,117.65,11.06,0.37,1.95
2020,4,3,4.89,7.07,0.48,0.56,399.6,93.87,133.29,12.78,0.43,2.3
2020,4,4,4.11,6.7,0.4,0.47,399.51,77.07,124.23,10.39,0.35,1.88
2020,4,5,5.01,7.09,0.49,0.58,403.71,97.76,135.52,13.48,0.45,2.39
2020,4,6,4.53,7.11,0.45,0.52,394.84,88.09,135.98,12.26,0.42,2.24
2020,4,7,3.91,7.16,0.38,0.45,400.38,76.6,136.87,10.95,0.37,1.9
2020,4,8,3.71,7.11,0.37,0.43,396.28,71.48,135.5,10.24,0.33,1.67
2020,4,9,3.94,6.99,0.39,0.46,389.05,76.38,132.89,10.77,0.35,1.81
2020,4,10,4.92,6.8,0.48,0.57,402.1,95.14,129.34,12.81,0.41,2.1
2020,4,11,3.36,6.46,0.33,0.39,399.96,64.13,120.98,8.8,0.29,1.52
2020,4,12,4.28,6.65,0.42,0.5,396.31,82.34,125.38,11.16,0.37,1.91
2020,4,13,4.68,6.86,0.47,0.55,401.08,91.51,131.12,12.65,0.41,2.2
2020,4,14,3.53,6.76,0.35,0.41,401.88,69.48,128.62,9.82,0.32,1.65
2020,4,15,4.2,6.84,0.42,0.49,389.0,80.3,129.55,11.15,0.36,1.84
2020,4,16,5.06,6.76,0.51,0.6,389.7,97.38,128.24,13.17,0.43,2.27
2020,4,17,4.27,6.63,0.43,0.51,400.81,82.23,124.57,11.15,0.36,1.89
2020,4,18,4.09,6.65,0.41,0.48,405.85,79.52,125.72,10.95,0.35,1.8
2020,4,19,4.71,6.91,0.48,0.56,400.05,90.7,131.45,12.45,0.38,1.95
2020,4,20,5.26,7.09,0.53,0.63,394.01,101.18,135.46,13.86,0.45,2.42
2020,4,21,5.36,6.97,0.54,0.64,392.31,103.73,133.39,14.06,0.44,2.27
2020,4,22,5.13,7.03,0.52,0.62,396.7,98.73,134.23,13.62,0.42,2.21
2020,4,23,4.61,6.94,0.47,0.55,396.23,88.91,132.17,12.43,0.4,2.05
2020,4,24,4.72,6.92,0.48,0.57,398.07,91.83,132.45,12.8,0.41,2.18
2020,4,25,4.19,6.85,0.43,0.51,404.29,81.72,131.4,11.48,0.37,1.94
2020,4,26,4.17,6.47,0.43,0.51,401.85,80.0,120.84,10.89,0.34,1.72
2020,4,27,4.48,6.5,0.46,0.55,397.91,86.14,122.64,11.73,0.37,1.94
2020,4,28,4.07,6.81,0.41,0.5,399.38,79.02,129.44,11.22,0.36,1.84
2020,4,29,4.09,6.62,0.42,0.5,401.65,78.45,125.06,10.82,0.35,1.81
2020,4,30,4.38,6.57,0.45,0.54,402.48,84.59,124.27,11.77,0.38,1.97
2020,5,1,4.32,6.59,0.45,0.53,398.89,84.65,125.3,11.7,0.38,1.99
2020,5,2,3.79,6.24,0.39,0.47,410.93,72.93,116.79,9.95,0.32,1.65
2020,5,3,4.02,6.51,0.41,0.5,407.8,78.76,124.0,10.98,0.36,1.84
2020,5,4,3.43,5.74,0.36,0.43,406.79,64.59,105.7,8.65,0.28,1.47
2020,5,5,3.66,6.32,0.38,0.46,404.94,70.85,119.73,9.93,0.33,1.7
2020,5,6,2.77,6.62,0.29,0.35,403.87,54.34,126.95,8.0,0.27,1.39
2020,5,7,3.95,6.76,0.41,0.5,399.1,76.54,129.71,11.02,0.36,1.84
2020,5,8,4.28,6.61,0.45,0.54,396.28,84.38,126.74,11.8,0.38,1.98
2020,5,9,4.74,6.38,0.5,0.6,393.35,91.88,122.04,12.33,0.4,2.1
2020,5,10,3.58,6.18,0.38,0.45,402.87,69.77,117.2,9.54,0.31,1.61
2020,5,11,4.11,6.28,0.44,0.52,403.84,80.0,120.01,10.98,0.35,1.83
2020,5,12,4.04,6.5,0.43,0.52,390.95,79.66,124.31,11.09,0.34,1.8
2020,5,13,3.9,6.52,0.41,0.5,397.84,76.25,125.27,10.88,0.34,1.79
2020,5,14,3.11,6.46,0.33,0.4,399.8,61.45,123.33,8.68,0.27,1.39
2020,5,15,3.64,6.32,0.39,0.47,395.05,69.65,119.8,9.41,0.28,1.45
2020,5,16,3.54,6.55,0.38,0.45,402.64,69.87,126.67,10.02,0.33,1.66
2020,5,17,4.03,5.98,0.43,0.52,391.35,77.73,112.65,10.3,0.32,1.69
2020,5,18,4.18,5.67,0.45,0.54,403.76,79.24,105.32,10.11,0.3,1.59
2020,5,19,2.97,6.09,0.32,0.38,408.09,56.83,114.27,7.82,0.25,1.29
2020,5,20,4.53,6.38,0.48,0.59,390.06,87.92,121.73,11.89,0.37,1.95
2020,5,21,3.63,6.37,0.39,0.48,397.8,70.5,121.93,9.88,0.32,1.62
2020,5,22,3.89,6.17,0.42,0.51,395.3,75.33,116.33,10.2,0.31,1.6
2020,5,23,3.96,6.39,0.43,0.52,389.8,76.71,121.59,10.66,0.34,1.73
2020,5,24,3.72,6.44,0.41,0.49,389.4,72.85,123.44,10.23,0.34,1.72
2020,5,25,3.99,6.23,0.44,0.52,387.16,78.02,118.74,10.45,0.34,1.76
2020,5,26,3.75,6.12,0.41,0.49,383.98,72.33,115.45,9.73,0.3,1.58
2020,5,27,3.78,6.41,0.41,0.5,387.87,72.77,122.49,10.16,0.32,1.65
2020,5,28,4.28,6.4,0.47,0.57,380.27,82.33,120.65,11.22,0.35,1.84
2020,5,29,4.19,6.11,0.46,0.55,386.55,79.5,114.91,10.7,0.33,1.7
2020,5,30,3.99,6.38,0.44,0.53,387.81,77.66,122.05,11.03,0.36,1.86
2020,5,31,3.66,6.28,0.4,0.49,392.59,72.26,120.47,10.11,0.32,1.66
2020,6,1,3.67,6.3,0.41,0.49,392.81,71.08,120.98,10.12,0.33,1.69
2020,6,2,3.68,6.11,0.41,0.49,392.84,71.42,115.86,9.75,0.3,1.56
2020,6,3,3.5,6.03,0.38,0.47,397.5,67.19,114.57,9.23,0.3,1.53
2020,6,4,3.09,6.22,0.34,0.41,399.02,59.03,117.27,8.27,0.27,1.38
2020,6,5,3.06,6.4,0.34,0.41,387.93,59.72,122.66,8.84,0.29,1.49
2020,6,6,3.35,6.07,0.37,0.45,389.84,64.55,115.3,8.91,0.28,1.45
2020,6,7,4.9,6.42,0.55,0.66,378.62,94.55,122.73,12.84,0.4,2.1
2020,6,8,3.02,6.38,0.34,0.41,389.2,57.98,122.26,8.3,0.26,1.35
2020,6,9,3.19,6.41,0.35,0.43,393.28,60.87,122.41,8.91,0.28,1.45
2020,6,10,4.67,6.59,0.52,0.63,377.08,88.07,123.68,12.13,0.36,1.83
2020,6,11,4.3,6.53,0.48,0.59,374.54,81.65,121.72,11.29,0.34,1.74
2020,6,12,5.06,6.38,0.56,0.69,380.86,96.54,120.85,12.95,0.39,2.05
2020,6,13,4.37,6.3,0.48,0.59,379.66,82.93,118.21,11.27,0.34,1.77
2020,6,14,2.41,6.24,0.27,0.33,396.93,47.4,119.05,7.08,0.23,1.15
2020,6,15,3.46,6.16,0.38,0.47,399.29,66.34,116.82,9.36,0.3,1.5
2020,6,16,3.73,6.17,0.41,0.51,393.17,72.17,117.3,10.06,0.31,1.62
2020,6,17,3.09,6.28,0.34,0.42,407.08,57.49,120.09,8.2,0.26,1.34
2020,6,18,2.99,6.19,0.34,0.41,393.21,56.98,117.09,8.16,0.26,1.35
2020,6,19,3.7,5.5,0.41,0.51,403.48,70.03,101.88,9.04,0.28,1.47
2020,6,20,3.08,5.86,0.34,0.42,402.09,58.77,109.68,8.24,0.26,1.35
2020,6,21,2.37,6.09,0.27,0.32,397.71,46.23,115.86,6.73,0.22,1.11
2020,6,22,3.22,6.31,0.36,0.44,389.0,60.79,120.83,8.69,0.27,1.41
2020,6,23,4.1,6.2,0.46,0.56,385.51,78.95,117.84,10.91,0.34,1.8
2020,6,24,3.41,6.14,0.38,0.46,393.98,65.84,117.7,9.19,0.3,1.53
2020,6,25,3.54,6.02,0.4,0.48,391.67,68.36,114.46,9.35,0.29,1.48
2020,6,26,2.53,6.19,0.28,0.34,392.18,49.62,118.12,7.38,0.24,1.23
2020,6,27,3.98,6.12,0.45,0.54,389.91,77.28,116.91,10.64,0.33,1.72
2020,6,28,3.09,6.18,0.34,0.42,395.02,59.54,117.66,8.58,0.27,1.38
2020,6,29,3.08,6.11,0.34,0.42,385.64,57.96,114.61,8.23,0.25,1.29
2020,6,30,3.11,6.2,0.34,0.42,391.65,58.66,117.73,8.24,0.25,1.27
2020,7,1,2.67,6.17,0.3,0.36,396.97,51.14,115.92,7.54,0.23,1.22
2020,7,2,2.77,6.06,0.3,0.38,398.44,53.24,114.95,7.69,0.23,1.2
2020,7,3,2.35,6.03,0.26,0.32,399.16,45.54,114.26,6.64,0.21,1.06
2020,7,4,2.76,5.37,0.3,0.38,397.48,51.21,98.19,6.71,0.2,1.01
2020,7,5,3.04,6.02,0.34,0.41,403.71,57.29,113.66,8.05,0.25,1.26
2020,7,6,2.93,5.98,0.33,0.4,398.59,55.5,112.38,7.84,0.24,1.23
2020,7,7,2.65,5.93,0.3,0.36,400.43,49.38,111.64,6.96,0.22,1.11
2020,7,8,3.44,6.17,0.38,0.46,397.32,65.84,116.66,9.38,0.28,1.44
2020,7,9,3.53,6.37,0.39,0.48,384.69,67.02,121.05,9.59,0.29,1.48
2020,7,10,2.4,6.35,0.27,0.32,395.89,46.77,120.93,7.02,0.21,1.06
2020,7,11,2.9,6.32,0.32,0.39,400.29,54.55,120.2,7.98,0.24,1.24
2020,7,12,4.02,6.3,0.45,0.54,391.54,77.72,120.06,10.77,0.33,1.69
2020,7,13,2.61,6.44,0.29,0.35,380.57,50.95,122.49,7.54,0.23,1.18
2020,7,14,3.72,6.3,0.41,0.49,385.98,70.84,118.31,9.85,0.3,1.55
2020,7,15,2.82,6.45,0.31,0.38,392.88,53.84,122.21,7.83,0.24,1.24
2020,7,16,3.34,6.5,0.37,0.45,398.05,62.31,123.87,9.05,0.28,1.46
2020,7,17,3.18,6.62,0.34,0.42,395.65,59.59,125.45,8.7,0.28,1.46
2020,7,18,4.3,6.46,0.47,0.57,387.35,83.04,122.98,11.41,0.35,1.83
2020,7,19,3.87,6.33,0.42,0.52,398.16,73.9,120.31,10.4,0.34,1.73
2020,7,20,3.55,6.31,0.39,0.47,396.36,67.09,119.2,9.44,0.31,1.61
2020,7,21,3.78,6.19,0.41,0.5,403.86,71.66,116.38,9.81,0.32,1.67
2020,7,22,3.58,6.19,0.39,0.47,393.06,67.47,115.84,9.39,0.3,1.58
2020,7,23,4.2,6.36,0.45,0.55,388.73,80.55,121.15,11.04,0.34,1.8
2020,7,24,4.08,6.36,0.44,0.53,393.77,78.75,120.42,10.92,0.35,1.82
2020,7,25,3.5,6.46,0.38,0.45,388.34,66.13,122.65,9.41,0.3,1.5
2020,7,26,2.81,6.26,0.3,0.37,399.69,53.39,117.42,7.59,0.24,1.23
2020,7,27,2.63,6.48,0.28,0.34,404.45,50.38,122.91,7.45,0.24,1.24
2020,7,28,2.85,6.47,0.3,0.37,390.98,54.0,121.92,7.74,0.24,1.27
2020,7,29,3.67,6.42,0.39,0.48,394.62,70.38,120.65,9.82,0.33,1.69
2020,7,30,2.64,6.29,0.28,0.34,396.01,49.5,117.87,7.05,0.23,1.18
2020,7,31,2.86,6.64,0.3,0.37,393.3,53.9,124.33,7.88,0.26,1.34
2020,8,1,5.22,6.72,0.55,0.67,384.3,98.8,126.91,13.38,0.42,2.25
2020,8,2,5.48,6.89,0.58,0.7,382.18,102.8,128.93,14.04,0.44,2.33
2020,8,3,4.12,6.74,0.44,0.52,395.05,77.71,126.64,10.74,0.34,1.77
2020,8,4,5.13,6.66,0.54,0.65,383.55,98.11,126.39,13.24,0.43,2.27
2020,8,5,4.33,6.59,0.46,0.55,398.26,82.49,124.23,11.33,0.38,2.03
2020,8,6,4.92,6.57,0.52,0.62,397.52,93.09,123.41,12.57,0.42,2.26
2020,8,7,4.51,6.49,0.48,0.57,390.77,84.77,121.04,11.36,0.37,1.97
2020,8,8,4.2,6.6,0.44,0.53,383.21,79.96,123.59,10.87,0.34,1.74
2020,8,9,4.47,5.96,0.47,0.56,381.44,83.2,109.06,10.59,0.31,1.64
2020,8,10,4.65,6.5,0.48,0.58,388.05,87.2,121.31,11.53,0.35,1.86
2020,8,11,4.08,6.61,0.42,0.51,399.83,77.58,123.81,10.62,0.34,1.77
2020,8,12,3.59,6.42,0.38,0.45,398.1,68.43,120.97,9.22,0.28,1.46
2020,8,13,4.78,6.66,0.5,0.59,387.49,91.47,126.1,12.34,0.38,1.97
2020,8,14,4.58,6.52,0.48,0.56,383.52,87.18,122.54,11.75,0.36,1.85
2020,8,15,3.85,6.72,0.4,0.48,390.93,74.55,127.45,10.49,0.33,1.67
2020,8,16,3.48,6.87,0.36,0.43,383.02,66.06,129.51,9.38,0.3,1.51
2020,8,17,4.78,6.97,0.49,0.59,372.87,90.02,131.52,12.46,0.38,1.95
2020,8,18,5.03,6.9,0.52,0.62,378.17,96.32,130.57,13.24,0.42,2.21
2020,8,19,4.97,6.93,0.51,0.61,383.66,95.72,132.22,13.16,0.41,2.14
2020,8,20,4.91,6.81,0.5,0.59,381.89,93.51,128.16,12.8,0.41,2.16
2020,8,21,2.71,6.72,0.27,0.33,388.7,53.35,126.91,7.77,0.26,1.33
2020,8,22,2.34,6.7,0.24,0.28,401.2,46.12,125.74,6.71,0.22,1.16
2020,8,23,3.57,6.94,0.36,0.43,389.04,68.28,130.3,9.48,0.3,1.54
2020,8,24,3.99,7.06,0.41,0.48,395.87,76.45,132.99,10.77,0.35,1.82
2020,8,25,5.44,7.04,0.55,0.66,381.45,103.77,132.48,14.16,0.46,2.44
2020,8,26,4.99,7.08,0.51,0.6,388.76,95.8,134.26,13.24,0.43,2.28
2020,8,27,4.03,7.22,0.41,0.48,399.48,76.7,136.83,11.01,0.36,1.89
2020,8,28,4.5,7.0,0.45,0.54,395.68,85.45,131.92,11.88,0.4,2.08
2020,8,29,4.39,7.11,0.44,0.52,395.63,83.98,134.45,11.88,0.39,2.02
2020,8,30,3.56,7.14,0.36,0.42,391.41,68.5,134.47,9.78,0.31,1.62
2020,8,31,3.52,7.03,0.35,0.41,379.27,66.95,132.56,9.48,0.3,1.52
2020,9,1,2.63,6.58,0.27,0.31,388.09,51.52,121.53,7.16,0.23,1.18
2020,9,2,3.92,6.78,0.39,0.46,377.02,75.52,126.95,10.07,0.31,1.6
2020,9,3,3.8,7.1,0.38,0.45,385.82,73.42,134.16,10.43,0.34,1.74
2020,9,4,3.42,7.1,0.34,0.4,384.7,66.96,134.63,9.49,0.31,1.6
2020,9,5,4.54,6.95,0.45,0.53,384.48,87.34,130.84,11.8,0.39,2.05
2020,9,6,3.76,7.1,0.38,0.44,384.81,72.15,133.36,10.12,0.34,1.8
2020,9,7,3.65,7.19,0.36,0.42,401.77,71.47,136.37,10.27,0.35,1.86
2020,9,8,4.91,7.04,0.48,0.57,387.67,94.48,131.53,12.92,0.45,2.4
2020,9,9,3.86,6.95,0.38,0.45,391.44,75.01,129.17,10.31,0.34,1.82
2020,9,10,3.84,6.67,0.38,0.45,395.75,74.32,124.28,9.93,0.33,1.73
2020,9,11,3.99,6.73,0.39,0.46,388.84,76.37,124.59,10.14,0.34,1.8
2020,9,12,5.03,7.26,0.49,0.58,387.09,98.25,138.42,13.55,0.45,2.41
2020,9,13,4.19,7.16,0.41,0.48,394.07,82.99,137.01,11.51,0.38,1.95
2020,9,14,2.9,7.19,0.28,0.34,397.28,58.95,136.78,8.64,0.3,1.54
2020,9,15,4.13,7.19,0.41,0.48,382.88,81.53,136.39,11.55,0.39,2.09
2020,9,16,3.85,7.36,0.38,0.44,395.84,77.19,140.59,11.17,0.39,2.09
